"Quarter","ElectionPeriod","president","term","presTerm","pres_party","GB_CPI_QTR0","GB_CPI_QTR1","GB_CPI_QTR2","GB_CPI_QTR3","GB_CPI_QTR4","GB_CPI_QTR5","deflator","cpi_change","pres_election","time_to_election","high_inflation","senate_dems","senate_rep","house_dems","house_rep","senate_dem_rep","house_dem_rep","manufoutput","recession","sales","DebtGDP","ExpenditureGDP","PotentialGDP","FedFunds","FedFunds2qChange"
"1",1965.4,0,"Johnson",2,"Johnson2",1,2.2,NA,NA,NA,NA,NA,1.93702,1.78566,0,12,1,68,32,295,140,2.125,2.107143,NA,0,NA,NA,NA,NA,4.17,0.74
"2",1966.1,0,"Johnson",2,"Johnson2",1,2.2,2.5,NA,NA,NA,NA,2.13078,2.4193,0,11,1,68,32,295,140,2.125,2.107143,NA,0,NA,41.64491,16.55423,94.40841,4.56,0.850000000000001
"3",1966.2,0,"Johnson",2,"Johnson2",1,2.9,NA,NA,NA,NA,NA,2.53636,2.68974,0,10,1,68,32,295,140,2.125,2.107143,NA,0,NA,40.53045,17.16887,95.26862,4.91,0.649999999999999
"4",1966.3,0,"Johnson",2,"Johnson2",1,3.6,3.5,NA,NA,NA,NA,3.214,3.27391,0,9,1,68,32,295,140,2.125,2.107143,NA,0,NA,40.94666,17.42529,95.64998,5.41,-0.59
"5",1966.4,0,"Johnson",2,"Johnson2",1,2.8,NA,NA,NA,NA,NA,3.4174,3.5685,0,8,1,68,32,295,140,2.125,2.107143,NA,0,NA,40.81286,17.74693,95.95985,5.56,-1.57
"6",1967.1,0,"Johnson",2,"Johnson2",1,2.1,2.1,NA,NA,NA,NA,3.30149,2.87078,0,7,1,64,36,248,187,1.777778,1.326203,NA,0,NA,40.46796,18.68427,96.24603,4.82,-0.93
"7",1967.2,0,"Johnson",2,"Johnson2",1,2.7,2.7,NA,NA,NA,NA,2.94838,2.56672,0,6,1,64,36,248,187,1.777778,1.326203,NA,0,NA,39.26706,18.81309,97.4097,3.99,0.18
"8",1967.3,0,"Johnson",2,"Johnson2",1,2.7,3.7,NA,NA,NA,NA,2.9309,2.70718,0,5,1,64,36,248,187,1.777778,1.326203,NA,0,NA,40.13094,18.67384,97.67025,3.89,0.9
"9",1967.4,0,"Johnson",2,"Johnson2",1,3.8,NA,NA,NA,NA,NA,3.15055,2.99243,0,4,1,64,36,248,187,1.777778,1.326203,NA,0,NA,40.42019,18.8812,98.00633,4.17,1.81
"10",1968.1,0,"Johnson",2,"Johnson2",1,3.4,3.3,3,2.6,NA,NA,3.75263,3.7401,0,3,1,64,36,248,187,1.777778,1.326203,NA,0,NA,39.72187,18.98159,97.04478,4.79,1.15
"11",1968.2,0,"Johnson",2,"Johnson2",1,4,NA,NA,NA,NA,NA,4.29913,4.11855,0,2,1,64,36,248,187,1.777778,1.326203,NA,0,NA,38.20031,19.15717,96.51587,5.98,-0.0600000000000005
"12",1968.3,1,"Johnson",2,"Johnson2",1,4.3,3.4,NA,NA,NA,NA,4.32774,4.47761,0,1,1,64,36,248,187,1.777778,1.326203,NA,0,NA,38.58838,19.09061,96.84543,5.94,0.63
"13",1968.4,1,"Johnson",2,"Johnson2",1,3.5,3.3,3,NA,NA,NA,4.6123,4.62397,1,0,1,64,36,248,187,1.777778,1.326203,NA,0,NA,38.24279,19.13053,97.41508,5.92,2.41
"14",1969.1,0,"Nixon",1,"Nixon1",0,3.7,3.4,4.3,2.9,NA,NA,4.55301,4.87427,0,15,1,58,42,243,192,1.380952,1.265625,NA,0,NA,37.41763,18.38901,96.8363,6.57,2.41
"15",1969.2,0,"Nixon",1,"Nixon1",0,4,4.8,3.5,NA,NA,NA,4.78146,5.50198,0,14,1,58,42,243,192,1.380952,1.265625,NA,0,NA,36.15357,18.72759,97.56173,8.33,0.609999999999999
"16",1969.3,0,"Nixon",1,"Nixon1",0,5.1,3.8,3.5,3.2,NA,NA,5.28242,5.52286,0,13,1,58,42,243,192,1.380952,1.265625,NA,0,NA,36.20245,18.71926,97.90224,8.98,-0.41
"17",1969.4,0,"Nixon",1,"Nixon1",0,3.9,3.6,3.3,4.1,2.9,NA,5.14525,5.83355,0,12,1,58,42,243,192,1.380952,1.265625,NA,0,NA,36.65764,18.9547,99.2434,8.94,-1.06
"18",1970.1,0,"Nixon",1,"Nixon1",0,4.2,4,3.7,3.5,NA,NA,5.5428,6.22578,0,11,1,58,42,243,192,1.380952,1.265625,NA,1,NA,36.57526,18.67073,100.2556,8.57,-1.87
"19",1970.2,0,"Nixon",1,"Nixon1",0,4.5,4.2,3.7,NA,NA,NA,5.64664,6.03848,0,10,1,58,42,243,192,1.380952,1.265625,NA,1,NA,35.82364,19.78511,100.968,7.88,-2.31
"20",1970.3,0,"Nixon",1,"Nixon1",0,4,3.5,4.1,3,NA,NA,4.97808,5.68597,0,9,1,58,42,243,192,1.380952,1.265625,NA,1,NA,36.04741,19.47644,100.8948,6.7,-2.84
"21",1970.4,0,"Nixon",1,"Nixon1",0,4,4.7,3.6,3.4,3.2,NA,4.96987,5.6,0,8,1,58,42,243,192,1.380952,1.265625,NA,1,NA,36.96761,19.70172,102.7738,5.57,-1.01
"22",1971.1,0,"Nixon",1,"Nixon1",0,4.5,3.9,3.8,3.6,NA,NA,5.06758,4.81102,0,7,1,54,44,255,180,1.227273,1.416667,NA,0,NA,35.66779,19.35161,100.7832,3.86,1.61
"23",1971.2,0,"Nixon",1,"Nixon1",0,4.7,4.9,3.9,NA,NA,NA,4.99567,4.31496,0,6,1,54,44,255,180,1.227273,1.416667,NA,0,NA,35.51171,19.84269,101.0011,4.56,0.19
"24",1971.3,0,"Nixon",1,"Nixon1",0,4.1,2.2,3.9,1.6,NA,NA,5.21704,4.27075,0,5,1,54,44,255,180,1.227273,1.416667,NA,0,NA,36.19243,19.44518,100.9306,5.47,-1.93
"25",1971.4,0,"Nixon",1,"Nixon1",0,2.4,4,3.1,3.6,2.8,NA,4.71839,3.53535,0,4,1,54,44,255,180,1.227273,1.416667,NA,0,NA,36.83611,19.65433,101.3983,4.75,-0.45
"26",1972.1,0,"Nixon",1,"Nixon1",0,5.2,3.1,2.9,2.8,NA,NA,4.8536,3.50587,0,3,1,54,44,255,180,1.227273,1.416667,NA,0,NA,35.90824,19.9311,100.4537,3.54,1.2
"27",1972.2,1,"Nixon",1,"Nixon1",0,4,3.4,3.4,NA,NA,NA,4.00991,3.22581,0,2,1,54,44,255,180,1.227273,1.416667,NA,0,NA,34.79398,20.06364,98.84954,4.3,0.84
"28",1972.3,1,"Nixon",1,"Nixon1",0,3.3,2.9,3.8,3.2,3.8,4.1,3.98025,3.02948,0,1,1,54,44,255,180,1.227273,1.416667,NA,0,NA,34.73513,19.03466,98.60722,4.74,1.8
"29",1972.4,0,"Nixon",2,"Nixon2",0,3,4.1,3.5,3.8,3.8,NA,4.50579,3.33415,1,0,1,54,44,255,180,1.227273,1.416667,NA,0,NA,34.85722,20.19276,97.62941,5.14,2.68
"30",1973.1,0,"Nixon",2,"Nixon2",0,4.9,4.1,4,4.2,NA,NA,4.13292,4.11294,0,15,1,56,42,242,192,1.333333,1.260417,NA,0,NA,34.34994,19.41428,96.08269,6.54,4.02
"31",1973.2,0,"Nixon",2,"Nixon2",0,5.1,4.4,4.7,NA,NA,NA,5.1253,5.60817,0,14,1,56,42,242,192,1.333333,1.260417,NA,0,NA,33.34429,19.19067,95.9023,7.82,2.18
"32",1973.3,0,"Nixon",2,"Nixon2",0,6,6.6,6.1,5,4.6,4.6,6.14308,6.8371,0,13,1,56,42,242,192,1.333333,1.260417,NA,0,NA,33.12102,18.83224,97.22442,10.56,-1.24
"33",1973.4,0,"Nixon",2,"Nixon2",0,6.1,6,5.3,5,5.5,NA,6.76175,8.41693,0,12,1,56,42,242,192,1.333333,1.260417,NA,0,NA,32.76107,18.59897,96.90599,10,1.25
"34",1974.1,0,"Nixon",2,"Nixon2",0,8.1,7,5.8,6.2,NA,NA,7.56073,9.91565,0,11,1,56,42,242,192,1.333333,1.260417,NA,1,NA,32.74628,19.11511,98.7971,9.32,2.77
"35",1974.2,0,"Nixon",2,"Nixon2",0,9,7,7.3,6,5.2,NA,8.48165,10.54788,0,10,1,56,42,242,192,1.333333,1.260417,NA,1,NA,31.93932,19.49084,99.31977,11.25,-1.9
"36",1974.3,0,"Nixon",2,"Nixon2",0,9.7,8.8,7.4,7.1,6.7,7.2,9.55773,11.45759,0,9,1,56,42,242,192,1.333333,1.260417,NA,1,NA,31.80723,19.82559,101.4005,12.09,-5.79
"37",1974.4,0,"Ford",1,"Ford1",0,12.3,8.7,8,7.3,7.5,NA,10.92268,12.04798,0,8,1,56,42,242,192,1.333333,1.260417,NA,1,NA,31.72746,20.07342,102.84,9.35,-3.93
"38",1975.1,0,"Ford",1,"Ford1",0,7.3,6.5,6.5,6.4,5.7,5.4,11.17968,11.13531,0,7,1,61,37,291,144,1.648649,2.020833,NA,1,NA,32.47477,20.84873,105.021,6.3,-0.14
"39",1975.2,0,"Ford",1,"Ford1",0,7,5.8,6,5,4.5,NA,10.10871,9.5394,0,6,1,61,37,291,144,1.648649,2.020833,NA,0,NA,33.22044,21.88785,105.0717,5.42,-0.00999999999999979
"40",1975.3,0,"Ford",1,"Ford1",0,7.5,8.1,7.8,5.8,5.4,5.6,8.94605,8.67963,0,5,1,61,37,291,144,1.648649,2.020833,NA,0,NA,33.30408,21.21631,104.1927,6.16,-1.33
"41",1975.4,0,"Ford",1,"Ford1",0,6.6,5.3,5.2,5.2,5.6,NA,7.59438,7.38337,0,4,1,61,37,291,144,1.648649,2.020833,NA,0,NA,33.64543,21.11558,103.6758,5.41,-0.21
"42",1976.1,0,"Ford",1,"Ford1",0,5,5.6,5.9,6.1,5.5,5.3,6.36647,6.34048,0,3,1,61,37,291,144,1.648649,2.020833,NA,0,NA,33.88961,20.70094,102.201,4.83,0.45
